,ville_code_commune,duration_toulouse,distance_toulouse,base_duration_toulouse
549,11200,6860,126913,6717
550,11290,3757,78284,3615
551,11365,3491,59446,3276
552,11216,4536,96115,4215
553,11252,2916,51038,2787
554,11423,5034,107607,4730
555,11363,6381,138229,6200
556,11024,6244,156167,5681
557,11289,5208,114252,4849
558,11048,6100,146849,5712
559,11232,6177,123323,5945
560,11052,5378,95865,5074
561,11097,5978,117435,5761
562,11275,3463,58852,3260
563,11032,4944,96490,4721
564,11370,7131,167448,6573
565,11012,6937,147133,6623
566,11339,5057,90928,4756
567,11046,6331,118756,6151
568,11330,4726,107589,4406
569,11199,4094,96844,3804
570,11294,5563,109229,5197
571,11424,5803,116483,5470
572,11205,5644,117088,5352
573,11259,4470,90773,4130
574,11045,5804,114184,5545
575,11030,2801,49777,2649
576,11195,3087,65582,2811
577,11345,7010,161428,6558
578,11062,9435,164454,9107
579,11145,7237,168838,6666
580,11321,9500,161158,9108
581,11277,3739,66472,3511
582,11123,8731,180705,8498
583,11375,4543,89090,4302
584,11031,7214,138037,6966
585,11242,4773,107582,4482
586,11065,7858,144397,7550
587,11284,3699,70401,3404
588,11246,4416,92455,4091
589,11072,3808,76205,3554
590,11302,9036,153120,8750
591,11063,6474,124475,6140
592,11436,6595,154490,6187
593,11333,5363,103803,5071
594,11096,7764,151113,7279
595,11144,7241,182462,6491
596,11093,9201,155579,8944
597,11092,6340,123570,6191
598,11219,8905,152179,8609
599,11017,7984,144726,7616
600,11020,7892,146305,7538
601,11156,5088,101338,4720
602,11057,3735,78316,3459
603,11212,6484,141205,6228
604,11068,5138,115279,4745
605,11421,5961,140619,5540
606,11281,3431,69036,3167
607,11164,6808,143798,6533
608,11003,5365,107653,4981
609,11113,8604,187279,8265
610,11111,6002,139643,5585
611,11190,5748,124900,5389
612,11364,5648,110722,5340
613,11217,7125,167668,6560
614,11120,5298,105606,4931
615,11025,4779,105361,4448
616,11044,7627,141918,7317
617,11049,3427,75128,3128
618,11266,7199,174632,6526
619,11240,6122,119667,5829
620,11346,6363,126207,6127
621,11148,5359,133266,4846
622,11253,4855,96794,4457
623,11255,6301,146767,5917
624,11404,4520,93137,4158
625,11430,2890,62513,2634
626,11081,5427,116535,5091
627,11416,4986,108235,4650
628,11001,5077,115193,4711
629,11278,3561,62561,3343
630,11075,6556,128520,6379
631,11137,6910,157128,6388
632,11196,3232,67910,2956
633,11039,5638,112911,5277
634,11009,4050,85640,3722
635,11376,5925,116733,5692
636,11340,3910,83654,3564
637,11078,5738,110991,5441
638,11258,6671,162140,6088
639,11325,4687,105777,4399
640,11138,2980,62646,2729
641,11367,4525,84907,4235
642,11378,5487,122997,5153
643,11142,6186,117237,6003
644,11185,5885,131139,5639
645,11042,5272,117725,4889
646,11004,4459,92867,4143
647,11439,3890,74207,3602
648,11344,5089,111104,4783
649,11306,8318,148316,8114
650,11429,4340,99446,4040
651,11121,5032,102266,4696
652,11293,4696,105777,4399
653,11175,3711,70401,3404
654,11314,5595,124256,5261
655,11152,6238,149119,5813
656,11176,6256,148224,5843
657,11273,6275,145855,5864
658,11043,4563,106690,4203
659,11131,6674,126030,6360
660,11037,4381,104194,4021
661,11202,7218,181183,6489
662,11324,6217,143517,5815
663,11402,6649,126119,6414
664,11021,7794,142540,7394
665,11151,4546,106389,4185
666,11235,6495,123555,6248
667,11297,7117,123499,6919
668,11139,4301,90595,3987
669,11221,6603,110986,6423
670,11187,7627,143847,7250
671,11051,4067,87105,3755
672,11079,5908,101583,5738
673,11320,6919,138302,6582
674,11300,3837,72140,3534
675,11191,7205,163986,6736
676,11251,5387,120690,5013
677,11203,5501,132391,4996
678,11011,5151,108884,4801
679,11263,6402,127707,6116
680,11228,4394,91684,4064
681,11352,7469,139947,7197
682,11406,5847,116149,5537
683,11223,5710,114862,5498
684,11082,6439,124286,6193
685,11434,3766,73425,3434
686,11197,4539,95928,4211
687,11272,4599,101831,4279
688,11422,4543,103304,4195
689,11150,5287,93581,4957
690,11425,4753,104272,4418
691,11209,5951,115468,5658
692,11357,3859,82498,3529
693,11026,3072,50409,2907
694,11058,4194,90082,3880
695,11359,2701,48079,2549
696,11201,4490,101332,4166
697,11276,7953,178055,7656
698,11189,5925,104533,5742
699,11122,5286,117345,4863
700,11269,7012,169420,6456
701,11064,5770,138388,5292
702,11041,6985,146963,6718
703,11256,6105,144522,5685
704,11227,6606,134316,6425
705,11169,5635,117838,5395
706,11157,7023,161500,6636
707,11061,4267,91762,3963
708,11295,6625,168313,5939
709,11099,4603,103065,4269
710,11287,6558,126727,6226
711,11141,4176,89330,3877
712,11023,5027,111269,4648
713,11014,6515,162451,5923
714,11360,7014,166590,6439
715,11153,3754,80778,3433
716,11112,8165,148264,7872
717,11381,6807,130979,6501
718,11397,4479,104809,4134
719,11373,8488,151666,8069
720,11427,5241,102087,4905
721,11311,5901,140882,5479
722,11188,6999,172998,6282
723,11110,5988,145407,5554
724,11437,4028,85024,3709
725,11186,6804,129716,6590
726,11338,6048,114848,5845
727,11091,5613,112494,5286
728,11250,8015,149800,7680
729,11428,4218,80297,3925
730,11071,7171,163902,6769
731,11132,5428,133606,4907
732,11285,6661,161295,6097
733,11106,6639,162325,6032
734,11067,5980,140424,5562
735,11220,5068,113291,4688
736,11391,6463,108458,6291
737,11124,6738,156356,6305
738,11319,7022,113699,6847
739,11066,7707,150941,7201
740,11270,7962,180248,7676
741,11127,9453,163253,9021
742,11332,6129,146672,5730
743,11140,5366,131989,4841
744,11181,3973,75917,3690
745,11394,5579,109427,5287
746,11028,7441,143094,7153
747,11194,5125,111648,4723
748,11129,6339,122777,6026
749,11318,5558,123131,5172
