objectid;id_rte500;nature;toponyme;type;codeuic;region;departement;date_maj;geo_shape;geo_point_2d
94;2559;Gare de voyageurs;Capvern;halte ferroviaire;87671156;Occitanie;65;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [0.329594168203902, 43.10351715694864]}";43.1035171569,0.329594168204
96;2563;Gare de voyageurs et de fret;Muret;gare avec accueil du public;87611038;Occitanie;31;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [1.324296976408045, 43.46495862238188]}";43.4649586224,1.32429697641
108;2592;Gare de voyageurs et de fret;Cahors;gare avec accueil du public;87613000;Occitanie;46;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [1.433230816518503, 44.44928391223175]}";44.4492839122,1.43323081652
112;2721;Gare de voyageurs;Bolquère-Eyne;halte ferroviaire;87784801;Occitanie;66;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [2.087163775003456, 42.49808059565034]}";42.4980805957,2.087163775
114;2733;Gare de voyageurs;Vinça;halte ferroviaire;87784611;Occitanie;66;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [2.527521223003618, 42.64814541360718]}";42.6481454136,2.527521223
121;2759;Gare de voyageurs;Milhaud;halte ferroviaire;87775098;Occitanie;30;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [4.303083839475907, 43.78842986025067]}";43.7884298603,4.30308383948
122;2760;Gare de voyageurs;Beauvoisin;halte ferroviaire;87775809;Occitanie;30;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [4.321537190698955, 43.72458512977351]}";43.7245851298,4.3215371907
124;2774;Gare de voyageurs;Le Bruel;halte ferroviaire;87783548;Occitanie;48;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [3.35842515215087, 44.481303687755094]}";44.4813036878,3.35842515215
125;2776;Gare de voyageurs;Gramat;gare avec accueil du public;87613059;Occitanie;46;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [1.722480997818725, 44.77344465288764]}";44.7734446529,1.72248099782
137;3038;Gare de voyageurs et de fret;Mazamet;gare avec accueil du public;87615542;Occitanie;81;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [2.3750363298779402, 43.49784787450233]}";43.4978478745,2.37503632988
139;3047;Gare de voyageurs;Labège-Innopole;halte ferroviaire;87612002;Occitanie;31;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [1.513312862111989, 43.54696238418816]}";43.5469623842,1.51331286211
147;3067;Gare de voyageurs;Marvejols;gare avec accueil du public;87783282;Occitanie;48;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [3.281886566831442, 44.54513406408848]}";44.5451340641,3.28188656683
149;3076;Gare de voyageurs;Bétaille;halte ferroviaire;87594747;Occitanie;46;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [1.73382548413549, 44.94277239771807]}";44.9427723977,1.73382548414
160;3279;Gare de voyageurs;Lardenne;halte ferroviaire;87611939;Occitanie;31;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [1.383857706769531, 43.59651899253708]}";43.5965189925,1.38385770677
166;3336;Gare de voyageurs;Couiza-Montazels;halte ferroviaire;87615203;Occitanie;11;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [2.248326438740193, 42.94258014942089]}";42.9425801494,2.24832643874
167;3340;Gare de voyageurs;Saint-Jean-de-Verges;halte ferroviaire;87611624;Occitanie;09;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [1.608002252019702, 43.0128389588332]}";43.0128389588,1.60800225202
174;3356;Gare de voyageurs et de fret;Malause;halte ferroviaire;87611871;Occitanie;82;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [0.9718273999993661, 44.08803626827637]}";44.0880362683,0.971827399999
175;3357;Gare de voyageurs;Tessonnières;halte ferroviaire;87615245;Occitanie;81;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [1.9371056894371002, 43.92821261789821]}";43.9282126179,1.93710568944
176;3358;Gare de voyageurs et de fret;Albi-Madeleine;gare avec accueil du public;87615195;Occitanie;81;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [2.1409487160004312, 43.93743787669644]}";43.9374378767,2.140948716
192;3653;Gare de voyageurs;Andorre-L'Hospitalet;gare avec accueil du public;87611517;Occitanie;09;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [1.800914824540077, 42.589494185158415]}";42.5894941852,1.80091482454
213;3898;Gare de voyageurs;Limoux-Flassian;halte ferroviaire;87598755;Occitanie;11;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [2.218579293945779, 43.06860325695247]}";43.068603257,2.21857929395
220;3938;Gare de voyageurs et de fret;Lourdes;gare avec accueil du public;87671339;Occitanie;65;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [-0.042259496872798, 43.10053964790077]}";43.1005396479,-0.0422594968728
221;3942;Gare de voyageurs;Cintegabelle;halte ferroviaire;87611376;Occitanie;31;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [1.52063663102837, 43.30522786177589]}";43.3052278618,1.52063663103
222;3943;Gare de voyageurs;Le Soler;halte ferroviaire;87784512;Occitanie;66;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [2.7949977752923862, 42.678908241128326]}";42.6789082411,2.79499777529
231;3967;Gare de voyageurs;Allenc;halte ferroviaire;87783654;Occitanie;48;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [3.663914808617972, 44.54154695419212]}";44.5415469542,3.66391480862
235;4156;Gare de voyageurs;Millas;halte ferroviaire;87784546;Occitanie;66;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [2.693575499787082, 42.688822965023554]}";42.688822965,2.69357549979
237;4196;Gare de voyageurs;Valergues-Lansargues;halte ferroviaire;87773432;Occitanie;34;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [4.06056755519124, 43.67271225648023]}";43.6727122565,4.06056755519
239;4201;Gare de voyageurs;Salses-le-Château;halte ferroviaire;87784157;Occitanie;66;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [2.917396714057928, 42.83553469907674]}";42.8355346991,2.91739671406
256;4429;Gare de voyageurs et de fret;Carmaux;gare avec accueil du public;87615625;Occitanie;81;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [2.1523689320421022, 44.04825614801729]}";44.048256148,2.15236893204
264;4498;Gare de voyageurs;Saillagouse;halte ferroviaire;87784835;Occitanie;66;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [2.031967431195828, 42.45685895419372]}";42.4568589542,2.0319674312
265;4499;Gare de voyageurs;Planès;halte ferroviaire;87784785;Occitanie;66;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [2.136887998662302, 42.50106008885387]}";42.5010600889,2.13688799866
270;4507;Gare de voyageurs;Agde;gare avec accueil du public;87781278;Occitanie;34;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [3.466152182756859, 43.31758198675384]}";43.3175819868,3.46615218276
271;4509;Gare de voyageurs;Colomiers-Lycée-International;halte ferroviaire;87611921;Occitanie;31;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [1.314047273995611, 43.616215834713344]}";43.6162158347,1.314047274
276;4519;Gare de voyageurs;Lisle-sur-Tarn;gare avec accueil du public;87615310;Occitanie;81;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [1.8079560948119011, 43.85648703877449]}";43.8564870388,1.80795609481
277;4520;Gare de voyageurs;Ceilhes-Roqueredonde;halte ferroviaire;87781542;Occitanie;34;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [3.154553317514387, 43.812523292315234]}";43.8125232923,3.15455331751
278;4521;Gare de voyageurs;Gallargues-le-Montueux;halte ferroviaire;87775130;Occitanie;30;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [4.171297901436486, 43.716127730106315]}";43.7161277301,4.17129790144
282;4677;Gare de voyageurs;Chasseradès;halte ferroviaire;87775148;Occitanie;48;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [3.840059297378742, 44.554012615324964]}";44.5540126153,3.84005929738
283;4680;Gare de voyageurs;Tournay;gare avec accueil du public;87671172;Occitanie;65;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [0.23902099504000102, 43.18344629467432]}";43.1834462947,0.23902099504
290;4771;Gare de voyageurs;Ria;halte ferroviaire;87784660;Occitanie;66;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [2.390506253651426, 42.60324006861772]}";42.6032400686,2.39050625365
296;4786;Gare de voyageurs;Beaucaire;halte ferroviaire;87775023;Occitanie;30;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [4.647186634524633, 43.80217872670911]}";43.8021787267,4.64718663452
297;4790;Gare de voyageurs;Tanus;halte ferroviaire;87615674;Occitanie;81;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [2.315207265357104, 44.100387073742716]}";44.1003870737,2.31520726536
301;4814;Gare de voyageurs;Laguépie;halte ferroviaire;87613471;Occitanie;12;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [1.968943455666402, 44.14555905699573]}";44.145559057,1.96894345567
305;5006;Gare de voyageurs;Avignonet;halte ferroviaire;87616011;Occitanie;31;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [1.787623547658826, 43.363924233860345]}";43.3639242339,1.78762354766
307;5010;Gare de voyageurs;Campagne;halte ferroviaire;87615229;Occitanie;11;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [2.205554038629685, 42.91693550557833]}";42.9169355056,2.20555403863
11;1477;Gare de voyageurs;Laval-de-Cère;halte ferroviaire;87594796;Occitanie;46;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [1.931550086456021, 44.950968740871]}";44.9509687409,1.93155008646
18;1601;Gare de voyageurs;Marssac-surTarn;halte ferroviaire;87615419;Occitanie;81;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [2.027025065772021, 43.91508485001707]}";43.91508485,2.02702506577
25;1734;Gare de voyageurs;Les Cabrils;halte ferroviaire;87781559;Occitanie;34;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [3.186031193154709, 43.77974809463642]}";43.7797480946,3.18603119315
35;1788;Gare de voyageurs;Espéraza;halte ferroviaire;87615211;Occitanie;11;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [2.21801779265561, 42.9358041000025]}";42.9358041,2.21801779266
40;1921;Gare de voyageurs;Rabastens-Coufouleux;gare avec accueil du public;87615328;Occitanie;81;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [1.731023980438327, 43.819649258226214]}";43.8196492582,1.73102398044
41;1924;Gare de voyageurs;Lavilledieu;halte ferroviaire;87611459;Occitanie;82;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [1.214375155664355, 44.03545007921202]}";44.0354500792,1.21437515566
47;2082;Gare de voyageurs;Estavar;halte ferroviaire;87784827;Occitanie;66;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [2.017951990799193, 42.4632104910871]}";42.4632104911,2.0179519908
56;2100;Gare de voyageurs;Fons-Saint-Mamert;halte ferroviaire;87775379;Occitanie;30;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [4.206652553560351, 43.90726384322085]}";43.9072638432,4.20665255356
67;2251;Gare de voyageurs;Vias;halte ferroviaire;87781260;Occitanie;34;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [3.424507636191535, 43.31591651253748]}";43.3159165125,3.42450763619
74;2264;Gare de voyageurs;Tournemire-Roquefort;halte ferroviaire;87783456;Occitanie;12;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [3.016990886578725, 43.96964819772085]}";43.9696481977,3.01699088658
77;2274;Gare de voyageurs;Chanac;halte ferroviaire;87783530;Occitanie;48;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [3.345544012227586, 44.47407465399493]}";44.474074654,3.34554401223
89;2424;Gare de voyageurs;Puybrun;halte ferroviaire;87594754;Occitanie;46;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [1.784253798578401, 44.92160980445309]}";44.9216098045,1.78425379858
91;2551;Gare de voyageurs;Chapeauroux;halte ferroviaire;87734343;Occitanie;48;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [3.741830632217073, 44.83787193029254]}";44.8378719303,3.74183063222
92;2557;Gare de voyageurs;Elne;gare avec accueil du public;87784207;Occitanie;66;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [2.963530452405409, 42.59736410009532]}";42.5973641001,2.96353045241
99;2570;Gare de voyageurs;Lalande-Eglise;halte ferroviaire;87611947;Occitanie;31;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [1.42758369464299, 43.64694625940957]}";43.6469462594,1.42758369464
100;2573;Gare de voyageurs et de fret;Auch;gare avec accueil du public;87611749;Occitanie;32;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [0.5970597207827271, 43.647322388317455]}";43.6473223883,0.597059720783
103;2576;Gare de voyageurs;Montastruc-la-Conseillère;halte ferroviaire;87615369;Occitanie;31;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [1.5974276883117642, 43.71574690175604]}";43.7157469018,1.59742768831
105;2583;Gare de voyageurs;Moissac;gare avec accueil du public;87611889;Occitanie;82;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [1.077251080672291, 44.10247889790451]}";44.1024788979,1.07725108067
109;2594;Gare de voyageurs et de fret;Bagnac;halte ferroviaire;87613604;Occitanie;46;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [2.160450703750468, 44.6650999644896]}";44.6650999645,2.16045070375
115;2735;Gare de voyageurs;Collioure;gare avec accueil du public;87784256;Occitanie;66;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [3.078100200805673, 42.52686430767506]}";42.5268643077,3.07810020081
116;2740;Gare de voyageurs;Varilhes;gare avec accueil du public;87611327;Occitanie;09;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [1.629193155249777, 43.04168461744581]}";43.0416846174,1.62919315525
119;2744;Gare de voyageurs;Le Fauga;halte ferroviaire;87611046;Occitanie;31;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [1.282483601309093, 43.40444025727135]}";43.4044402573,1.28248360131
127;2951;Gare de voyageurs;Villefranche-Vernet-les-Bains;gare avec accueil du public;87784686;Occitanie;66;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [2.370029891952027, 42.59145808361772]}";42.5914580836,2.37002989195
128;2994;Gare de voyageurs;Le Bousquet-d'Orb;halte ferroviaire;87781583;Occitanie;34;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [3.168524647250185, 43.69139265962118]}";43.6913926596,3.16852464725
130;3004;Gare de voyageurs et de fret;Boussens;gare avec accueil du public;87611095;Occitanie;31;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [0.972365017775709, 43.179858698317986]}";43.1798586983,0.972365017776
135;3035;Gare de voyageurs et de fret;Saint-Gaudens;gare avec accueil du public;87611137;Occitanie;31;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [0.729549584049205, 43.105047227517275]}";43.1050472275,0.729549584049
161;3305;Gare de voyageurs;Les Cauquillous;halte ferroviaire;87328021;Occitanie;81;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [1.754652078773373, 43.73424523619637]}";43.7342452362,1.75465207877
163;3312;Gare de voyageurs;Gallieni-Cancéropôle;halte ferroviaire;87497461;Occitanie;31;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [1.4192125907557092, 43.574103466282814]}";43.5741034663,1.41921259076
164;3321;Gare de voyageurs;Enveitg-Village-Béna-Fanès;halte ferroviaire;87784892;Occitanie;66;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [1.916815224699522, 42.458041035937235]}";42.4580410359,1.9168152247
168;3341;Gare de voyageurs;Longages-Noé;halte ferroviaire;87611053;Occitanie;31;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [1.252225179676032, 43.356714391669904]}";43.3567143917,1.25222517968
169;3342;Gare de voyageurs;Coursan;halte ferroviaire;87781161;Occitanie;11;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [3.050288178867843, 43.23316813551714]}";43.2331681355,3.05028817887
170;3346;Gare de voyageurs;La Levade;halte ferroviaire;87775247;Occitanie;30;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [4.009833655680632, 44.22880857726935]}";44.2288085773,4.00983365568
178;3367;Gare de voyageurs;Gammal;halte ferroviaire;0;Occitanie;30;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [4.146581921172439, 44.27084587409164]}";44.2708458741,4.14658192117
181;3376;Gare de voyageurs;Les Quatre-Routes;halte ferroviaire;87594564;Occitanie;46;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [1.643646113432038, 44.99778915588452]}";44.9977891559,1.64364611343
183;3574;Gare de voyageurs;Lézignan-Corbières;gare avec accueil du public;87615112;Occitanie;11;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [2.769235619474218, 43.19984568305008]}";43.1998456831,2.76923561947
190;3643;Gare de voyageurs;Marquixanes;halte ferroviaire;87784629;Occitanie;66;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [2.485398817561433, 42.642870391553174]}";42.6428703916,2.48539881756
199;3662;Gare de voyageurs et de fret;Foix;gare avec accueil du public;87611616;Occitanie;09;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [1.6069926302356352, 42.96984520617601]}";42.9698452062,1.60699263024
201;3669;Gare de voyageurs;Brax-Léguevin;halte ferroviaire;87611822;Occitanie;31;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [1.236828498137779, 43.61478244304039]}";43.614782443,1.23682849814
204;3679;Gare de voyageurs;Saint-Geniès-de-Malgoirès;halte ferroviaire;87775361;Occitanie;30;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [4.214134944440489, 43.948844665262996]}";43.9488446653,4.21413494444
206;3684;Gare de voyageurs;Alès;gare avec accueil du public;87775288;Occitanie;30;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [4.084732763103138, 44.12812120806252]}";44.1281212081,4.0847327631
207;3685;Gare de voyageurs;Banassac-la-Canourgue;halte ferroviaire;87783324;Occitanie;48;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [3.19613938145369, 44.447799164917]}";44.4477991649,3.19613938145
212;3896;Gare de voyageurs et de fret;Lannemezan;gare avec accueil du public;87671123;Occitanie;65;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [0.387428854970194, 43.114218005131725]}";43.1142180051,0.38742885497
218;3936;Gare de voyageurs;IIle-sur-Têt;gare avec accueil du public;87784561;Occitanie;66;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [2.624476284894111, 42.66836784923205]}";42.6683678492,2.62447628489
238;4199;Gare de voyageurs;Leucate-la-Franqui;gare avec accueil du public;87781088;Occitanie;11;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [3.012816329732072, 42.932933344641704]}";42.9329333446,3.01281632973
240;4203;Gare de voyageurs;Lestelle;halte ferroviaire;87611111;Occitanie;31;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [0.912834056029248, 43.11884796410341]}";43.1188479641,0.912834056029
249;4243;Gare de voyageurs;Montpaon;halte ferroviaire;87781534;Occitanie;12;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [3.109840632601963, 43.86864165654765]}";43.8686416565,3.1098406326
251;4252;Gare de voyageurs;Lalbenque-Fontanes;halte ferroviaire;87613323;Occitanie;46;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [1.511574625666289, 44.33286554271788]}";44.3328655427,1.51157462567
253;4259;Gare de voyageurs et de fret;Bretenoux-Biars;gare avec accueil du public;87594762;Occitanie;46;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [1.844314940676665, 44.927596591135156]}";44.9275965911,1.84431494068
269;4506;Gare de voyageurs et de fret;Carbonne;gare avec accueil du public;87611061;Occitanie;31;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [1.212611680839952, 43.29853121822802]}";43.2985312182,1.21261168084
280;4527;Gare de voyageurs;Boucoiran;halte ferroviaire;87775346;Occitanie;30;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [4.187436288051074, 43.99267116503892]}";43.992671165,4.18743628805
287;4730;Gare de voyageurs;Luc-Primaube;halte ferroviaire;87615773;Occitanie;12;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [2.554471662706206, 44.29135432012119]}";44.2913543201,2.55447166271
295;4784;Gare de voyageurs;Manduel-Redessan;halte ferroviaire;87775064;Occitanie;30;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [4.478580901068087, 43.8265454963603]}";43.8265454964,4.47858090107
299;4798;Gare de voyageurs;Assier;gare avec accueil du public;87613075;Occitanie;46;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [1.869390851364866, 44.674681446354775]}";44.6746814464,1.86939085136
3;1456;Gare de voyageurs et de fret;Portet-Saint-Simon;gare avec accueil du public;87611400;Occitanie;31;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [1.388634471956824, 43.527487224320076]}";43.5274872243,1.38863447196
4;1457;Gare de voyageurs;Montrabé;halte ferroviaire;87611848;Occitanie;31;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [1.523367876280338, 43.645245668804705]}";43.6452456688,1.52336787628
8;1471;Gare de voyageurs;Saint-Julien-les-Fumades;halte ferroviaire;0;Occitanie;30;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [4.192901668123306, 44.21154387861881]}";44.2115438786,4.19290166812
14;1587;Gare de voyageurs;Thuès-les-Bains;halte ferroviaire;87784744;Occitanie;66;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [2.248925604855255, 42.52906479407362]}";42.5290647941,2.24892560486
19;1603;Gare de voyageurs;Robiac-Rochessadoule;halte ferroviaire;0;Occitanie;30;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [4.122439638854274, 44.27612641459231]}";44.2761264146,4.12243963885
27;1740;Gare de voyageurs;Montpellier-Saint-Roch;gare avec accueil du public;87773002;Occitanie;34;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [3.88100417952134, 43.60480533896083]}";43.604805339,3.88100417952
29;1748;Gare de voyageurs;Grand-Combe-La Pise;gare avec accueil du public;87775254;Occitanie;30;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [4.033270033787509, 44.209920030108925]}";44.2099200301,4.03327003379
31;1756;Gare de voyageurs et de fret;Souillac;gare avec accueil du public;87594333;Occitanie;46;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [1.46682039831178, 44.90210644181075]}";44.9021064418,1.46682039831
32;1784;Gare de voyageurs;Le Monastier;halte ferroviaire;87783308;Occitanie;48;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [3.252315043113016, 44.50928369571503]}";44.5092836957,3.25231504311
48;2083;Gare de voyageurs;Banyuls-sur-Mer;gare avec accueil du public;87784298;Occitanie;66;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [3.124624510914487, 42.48316083046863]}";42.4831608305,3.12462451091
55;2099;Gare de voyageurs;Saint-Georges-de-Luzençon;halte ferroviaire;87783423;Occitanie;12;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [2.983519576311963, 44.06606436703603]}";44.066064367,2.98351957631
59;2108;Gare de voyageurs;Mende;gare avec accueil du public;87783605;Occitanie;48;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [3.500862319933704, 44.522202815932]}";44.5222028159,3.50086231993
62;2245;Gare de voyageurs;Saverdun;gare avec accueil du public;87611368;Occitanie;09;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [1.5702294636703211, 43.23946615980809]}";43.2394661598,1.57022946367
70;2257;Gare de voyageurs;Villeneuve-lès-Maguelone;halte ferroviaire;87773515;Occitanie;34;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [3.849791553959345, 43.54356070388438]}";43.5435607039,3.84979155396
73;2263;Gare de voyageurs et de fret;Albi-Ville;gare avec accueil du public;87615005;Occitanie;81;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [2.137569054477857, 43.92240092487068]}";43.9224009249,2.13756905448
75;2266;Gare de voyageurs et de fret;Bram;gare avec accueil du public;87615054;Occitanie;11;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [2.118654051329211, 43.24394144176271]}";43.2439414418,2.11865405133
78;2377;Gare de voyageurs;Frontignan;gare avec accueil du public;87773556;Occitanie;34;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [3.758866903191858, 43.444564123961854]}";43.444564124,3.75886690319
79;2393;Gare de voyageurs;Prades-Molitg-les-Bains;gare avec accueil du public;87784637;Occitanie;66;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [2.429023203947697, 42.61685396332187]}";42.6168539633,2.42902320395
86;2408;Gare de voyageurs et de fret;Valence-d'Agen;gare avec accueil du public;87611863;Occitanie;82;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [0.8920724469064001, 44.111764788199494]}";44.1117647882,0.892072446906
87;2414;Gare de voyageurs;Molières-sur-Cèze;halte ferroviaire;0;Occitanie;30;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [4.160206840106756, 44.25938625763678]}";44.2593862576,4.16020684011
88;2416;Gare de voyageurs;Barjac;halte ferroviaire;87783563;Occitanie;48;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [3.4104915094480113, 44.49954978345968]}";44.4995497835,3.41049150945
98;2569;Gare de voyageurs;Saint-Agne;gare avec accueil du public;87611301;Occitanie;31;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [1.45063485028549, 43.579929771581604]}";43.5799297716,1.45063485029
