objectid;id_rte500;nature;toponyme;type;codeuic;region;departement;date_maj;geo_shape;geo_point_2d
150;3236;Gare de voyageurs;Auterive;gare avec accueil du public;87611384;Occitanie;31;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [1.46853979391204, 43.348952959101844]}";43.3489529591,1.46853979391
154;3259;Gare de voyageurs;Marseillan-Plage;halte ferroviaire;87781294;Occitanie;34;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [3.535197252263203, 43.31804047776195]}";43.3180404778,3.53519725226
157;3269;Gare de voyageurs et de fret;Castelsarrasin;gare avec accueil du public;87611897;Occitanie;82;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [1.114446618038065, 44.040326966738505]}";44.0403269667,1.11444661804
171;3347;Gare de voyageurs;Vic-Mireval;halte ferroviaire;87773531;Occitanie;34;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [3.799365762709829, 43.500784023648805]}";43.5007840236,3.79936576271
173;3352;Gare de voyageurs;Le Cailar;halte ferroviaire;87775825;Occitanie;30;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [4.235109228984362, 43.683254272606256]}";43.6832542726,4.23510922898
177;3366;Gare de voyageurs et de fret;Lexos;halte ferroviaire;87613489;Occitanie;81;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [1.885062422476702, 44.14223042559061]}";44.1422304256,1.88506242248
185;3615;Gare de voyageurs;Rocamadour-Padirac;halte ferroviaire;87613042;Occitanie;46;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [1.657283446006241, 44.818341157503916]}";44.8183411575,1.65728344601
193;3654;Gare de voyageurs;Nyer;halte ferroviaire;87784736;Occitanie;66;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [2.262967735078226, 42.54149420147868]}";42.5414942015,2.26296773508
194;3655;Gare de voyageurs;Marignac-Saint-Béat;halte ferroviaire;87611194;Occitanie;31;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [0.65216413133632, 42.91575736817547]}";42.9157573682,0.652164131336
211;3895;Gare de voyageurs;Les Ramassiers;halte ferroviaire;87353581;Occitanie;31;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [1.352762907433585, 43.602348952371784]}";43.6023489524,1.35276290743
216;3933;Gare de voyageurs;Sainte-Léocadie;halte ferroviaire;87784850;Occitanie;66;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [2.01030499655772, 42.44100128327139]}";42.4410012833,2.01030499656
219;3937;Gare de voyageurs;Ax-les-Thermes;gare avec accueil du public;87611533;Occitanie;09;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [1.8333978137452172, 42.72523891558623]}";42.7252389156,1.83339781375
224;3946;Gare de voyageurs et de fret;Baziège;halte ferroviaire;87611723;Occitanie;31;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [1.620556708120366, 43.45344799434096]}";43.4534479943,1.62055670812
227;3958;Gare de voyageurs et de fret;Montauban-Ville-Bourbon;gare avec accueil du public;87611244;Occitanie;82;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [1.341132438329169, 44.014123301944906]}";44.0141233019,1.34113243833
230;3966;Gare de voyageurs;Balsièges-Bourg;halte ferroviaire;87111864;Occitanie;48;2018-02-07T02:00:00+01:00;"{""type"": ""Point"", ""coordinates"": [3.456611906201479, 44.48206797921797]}";44.4820679792,3.4566119062
